类别：所有类别

周,Ethereum: (全球)
2021-11-07,98
2021-11-14,97
2021-11-21,80
2021-11-28,82
2021-12-05,82
2021-12-12,77
2021-12-19,66
2021-12-26,69
2022-01-02,85
2022-01-09,79
2022-01-16,78
2022-01-23,95
2022-01-30,78
2022-02-06,73
2022-02-13,64
2022-02-20,68
2022-02-27,59
2022-03-06,52
2022-03-13,53
2022-03-20,57
2022-03-27,59
2022-04-03,49
2022-04-10,47
2022-04-17,43
2022-04-24,44
2022-05-01,43
2022-05-08,73
2022-05-15,52
2022-05-22,46
2022-05-29,43
2022-06-05,42
2022-06-12,100
2022-06-19,67
2022-06-26,51
2022-07-03,44
2022-07-10,42
2022-07-17,61
2022-07-24,54
2022-07-31,45
2022-08-07,55
2022-08-14,54
2022-08-21,44
2022-08-28,41
2022-09-04,49
2022-09-11,94
2022-09-18,52
2022-09-25,37
2022-10-02,31
2022-10-09,30
2022-10-16,26
2022-10-23,34
2022-10-30,33
2022-11-06,48
2022-11-13,39
2022-11-20,32
2022-11-27,28
2022-12-04,25
2022-12-11,27
2022-12-18,26
2022-12-25,24
2023-01-01,25
2023-01-08,31
2023-01-15,35
2023-01-22,31
2023-01-29,29
2023-02-05,28
2023-02-12,28
2023-02-19,27
2023-02-26,24
2023-03-05,23
2023-03-12,31
2023-03-19,32
2023-03-26,28
2023-04-02,29
2023-04-09,39
2023-04-16,33
2023-04-23,26
2023-04-30,24
2023-05-07,23
2023-05-14,20
2023-05-21,19
2023-05-28,20
2023-06-04,21
2023-06-11,22
2023-06-18,23
2023-06-25,22
2023-07-02,22
2023-07-09,23
2023-07-16,21
2023-07-23,20
2023-07-30,18
2023-08-06,18
2023-08-13,20
2023-08-20,18
2023-08-27,17
2023-09-03,15
2023-09-10,16
2023-09-17,16
2023-09-24,16
2023-10-01,17
2023-10-08,15
2023-10-15,17
2023-10-22,24
2023-10-29,21
2023-11-05,30
2023-11-12,27
2023-11-19,24
2023-11-26,23
2023-12-03,39
2023-12-10,28
2023-12-17,28
2023-12-24,29
2023-12-31,29
2024-01-07,39
2024-01-14,30
2024-01-21,24
2024-01-28,22
2024-02-04,23
2024-02-11,33
2024-02-18,36
2024-02-25,54
2024-03-03,66
2024-03-10,60
2024-03-17,45
2024-03-24,38
2024-03-31,32
2024-04-07,31
2024-04-14,31
2024-04-21,25
2024-04-28,25
2024-05-05,20
2024-05-12,22
2024-05-19,57
2024-05-26,34
2024-06-02,31
2024-06-09,24
2024-06-16,23
2024-06-23,21
2024-06-30,22
2024-07-07,22
2024-07-14,29
2024-07-21,33
2024-07-28,25
2024-08-04,38
2024-08-11,24
2024-08-18,22
2024-08-25,23
2024-09-01,21
2024-09-08,21
2024-09-15,20
2024-09-22,20
2024-09-29,16
2024-10-06,15
2024-10-13,16
2024-10-20,16
2024-10-27,18
2024-11-03,31
2024-11-10,52
